GUID,Name,HP,AD,AS,DP,MM,MS,AR,min,max
100,해골 전사,200,10, 1.05,30,0,30,1,30,50
101,해골 근위병,250,20,1.1,35,0,30,1.3,50,70
102,해골 철퇴병,250,25,0.95,35,0,20,1.2,50,70
103,해골 광부,450,20,0.9,30,50,20,2,200,300
104,해골 수집가,600,20,1.1,40,0,30,2.5,400,600
105,플라잉 아이,250,20,1.0,45,0,50,1,50,100
106,악마의 도끼병,300,25,1.1,35,0,30,1.2,100,200
107,공포 버섯,450,20,0.9,50,0,20,1,100,200
108,초록 슬라임,100,20,0.7,10,0,20,1,30,40
109,파란 슬라임,200,30,0.8,20,0,20,1,100,120
110,빨간 슬라임,750,40,0.9,60,0,20,1,150,180
111,데몬 슬라임,1000,30,1.1,60,200,40,2,700,800
112,죽음의 인도자,750,40,1.0,50,100,30,2,400,500
113,고블린,350,35,1.3,45,0,50,1.2,100,150
114,새끼 임프,350,40,1.1,40,60,40,1.5,150,200
115,파이어 웜,350,45,1.2,40,40,20,5,150,200
116,악마법사,1000,20,0.9,55,0,25,4,500,700
117,고대 가디언,1500,45,1.2,60,100,30,1.5,900,1100
118,고대 골렘,2000,50,1.0,75,60,15,2.5,0,0
